            GSX            GSY            GSD            OBJ
 -0.2288800E-03 -0.7778119E-03 -0.1865719E-03  0.4418484E-05
 -0.2403240E-03 -0.7778119E-03 -0.1865719E-03  0.4554999E-05
 -0.2403240E-03 -0.8167025E-03 -0.1865719E-03  0.6044267E-05
 -0.2403240E-03 -0.8167025E-03 -0.1959005E-03  0.6247073E-05
 -0.2330761E-03 -0.7674411E-03 -0.1781762E-03  0.4049454E-05
 -0.2299863E-03 -0.7464402E-03 -0.1706200E-03  0.3400729E-05
 -0.2265289E-03 -0.7229416E-03 -0.1764690E-03  0.2793689E-05
 -0.2206478E-03 -0.6829699E-03 -0.1721620E-03  0.2053264E-05
 -0.2140673E-03 -0.6978766E-03 -0.1673428E-03  0.2353788E-05
 -0.2149856E-03 -0.6472509E-03 -0.1551644E-03  0.2033166E-05
 -0.2090621E-03 -0.5915906E-03 -0.1417748E-03  0.2571230E-05
 -0.2044895E-03 -0.6126655E-03 -0.1597325E-03  0.1894089E-05
 -0.1936198E-03 -0.5556352E-03 -0.1550909E-03  0.2553020E-05
 -0.2127506E-03 -0.6024057E-03 -0.1578621E-03  0.1869467E-05
 -0.2121892E-03 -0.5617050E-03 -0.1538203E-03  0.2232247E-05
 -0.2018265E-03 -0.5647977E-03 -0.1444682E-03  0.2797528E-05
 -0.2151996E-03 -0.6487622E-03 -0.1641454E-03  0.1820981E-05
 -0.2070581E-03 -0.5979020E-03 -0.1654540E-03  0.1692396E-05
 -0.2036785E-03 -0.5768639E-03 -0.1698407E-03  0.1647588E-05
 -0.2159909E-03 -0.6063545E-03 -0.1677446E-03  0.1534612E-05
 -0.2208941E-03 -0.6036641E-03 -0.1711603E-03  0.1396442E-05
 -0.2137135E-03 -0.6163853E-03 -0.1778502E-03  0.1329244E-05
 -0.2141241E-03 -0.6223449E-03 -0.1863714E-03  0.1192766E-05
 -0.2108283E-03 -0.5579335E-03 -0.1862717E-03  0.1133088E-05
 -0.2089647E-03 -0.5192118E-03 -0.1957045E-03  0.1131677E-05
 -0.2245452E-03 -0.5861291E-03 -0.1975263E-03  0.7680137E-06
 -0.2334410E-03 -0.5900789E-03 -0.2093292E-03  0.6119954E-06
 -0.2169975E-03 -0.5534050E-03 -0.2205123E-03  0.3812107E-06
 -0.2153363E-03 -0.5319787E-03 -0.2415518E-03  0.1423255E-06
 -0.2238584E-03 -0.4793602E-03 -0.2417698E-03  0.2542166E-06
 -0.2379344E-03 -0.5469407E-03 -0.2625447E-03  0.2509437E-06
 -0.2187515E-03 -0.4558394E-03 -0.2839858E-03  0.7415779E-07
 -0.2124890E-03 -0.3986110E-03 -0.3158131E-03  0.4875317E-06
 -0.2241415E-03 -0.5405897E-03 -0.2815259E-03  0.3123154E-06
 -0.2239403E-03 -0.4970846E-03 -0.2532782E-03  0.5239885E-07
 -0.2026102E-03 -0.4481918E-03 -0.2569597E-03  0.4563864E-06
 -0.2277089E-03 -0.5183555E-03 -0.2609280E-03  0.3891248E-07
 -0.2307844E-03 -0.4530295E-03 -0.2881250E-03  0.8138903E-07
 -0.2267598E-03 -0.4735978E-03 -0.2759914E-03  0.1671189E-07
 -0.2267598E-03 -0.4735978E-03 -0.2759914E-03  0.1671189E-07
****************
 -0.2267598E-03 -0.4735978E-03 -0.2759914E-03  0.4582742E-09
 -0.2380978E-03 -0.4735978E-03 -0.2759914E-03  0.7759990E-08
 -0.2380978E-03 -0.4972777E-03 -0.2759914E-03  0.3482222E-07
 -0.2380978E-03 -0.4972777E-03 -0.2897910E-03  0.1506244E-06
 -0.2309170E-03 -0.4672832E-03 -0.2635718E-03  0.2610865E-07
 -0.2267598E-03 -0.4735978E-03 -0.2759914E-03  0.4582742E-09
